subject,test,n.with,n.accr,mean.with,mean.accr,median.with,median.accr,mean.sub,median.sub
1,triplet position,15,40,0.08130274448753055,0.04380199279005356,0.08721277506302297,0.056991085706340074,0.03750075169747699,0.030221689356682895
1,transitional probability,21,6,0.032418846509593036,0.11441567746132396,0.08102857543217017,0.16324320545425186,-0.08199683095173092,-0.0822146300220817
1,word grouping,10,30,-0.11610949772286787,0.09710582296102738,-0.12229288417627926,0.07272955081374588,-0.21321532068389526,-0.19502243499002514
1,duplet pairing,6,12,-0.04295398046211169,0.10243097270882179,0.0030428204964624422,0.10670313516436192,-0.14538495317093347,-0.10366031466789948
2,triplet position,12,33,-0.03488068028658301,-0.09011949087281086,0.06460011863799518,0.020482401493812266,0.05523881058622785,0.044117717144182916
2,transitional probability,21,3,-0.01808257689900831,-0.27255635917007154,0.07687761366906706,-0.4018923434828477,0.2544737822710632,0.4787699571519147
2,word grouping,8,25,0.02877128433698216,-0.12816453893994462,0.09092218193025711,-0.005784498500906296,0.1569358232769268,0.09670668043116341
2,duplet pairing,5,9,-0.23419324779775916,-0.2665268865412071,-0.4509587050607646,-0.13507460841429306,0.03233363874344794,-0.31588409664647155
3,triplet position,18,48,-0.005118975225424276,-0.029485283788893625,-0.0539088261935709,-0.012372802439201398,0.02436630856346935,-0.0415360237543695
3,transitional probability,28,6,-0.005469346135021147,0.012775819991297422,-0.038881276898063165,-0.02342516816315787,-0.018245166126318567,-0.015456108734905296
3,word grouping,12,36,-0.016940318308138216,-0.03366693894914543,0.014543170221871182,-0.012372802439201398,0.016726620641007214,0.026915972661072582
3,duplet pairing,8,12,0.028172987720297516,-0.07869881260349589,0.10249772817229205,-0.06102891597357157,0.1068718003237934,0.16352664414586363
4,triplet position,18,48,0.05847323024180227,-0.050769646899808535,-0.02936569536964702,-0.02791212176657475,0.1092428771416108,-0.0014535736030722689
4,transitional probability,28,6,0.015296720168121277,-0.20813510568287744,0.015402605321339328,-0.24164488832681136,0.22343182585099872,0.25704749364815066
4,word grouping,12,36,-0.08444695153422989,-0.03954387868833475,-0.06537759772992027,-0.0068632093114508455,-0.04490307284589514,-0.058514388418469426
4,duplet pairing,8,12,-0.044324873956351096,0.012495734764794353,0.11424430393155782,-0.02591824225566833,-0.05682060872114545,0.14016254618722615
5,triplet position,18,48,-0.13156732352190545,-0.01525182727239792,-0.12163433372641219,-0.025517721918346344,-0.11631549624950753,-0.09611661180806585
5,transitional probability,28,6,-0.024122006364233832,-0.19926249441843413,-0.021121080739401048,-0.2751586315407593,0.1751404880542003,0.25403755080135826
5,word grouping,12,36,-0.039310524871410006,-0.007232261406060557,0.01564356482496622,-0.052327781974784666,-0.03207826346534945,0.06797134679975089
5,duplet pairing,8,12,-0.061882189544631226,-0.061587066454029,0.01564356482496622,-0.09178468211248622,-2.951230906022284e-4,0.10742824693745244
6,triplet position,18,48,0.03701659672206421,-0.06304699085662457,-0.030173579833079205,-0.011018126875735189,0.10006358757868879,-0.019155452957344016
6,transitional probability,28,6,0.009692411857851798,0.04498764003886668,0.00716138029725579,-0.054598860068500454,-0.03529522818101488,0.061760240365756246
6,word grouping,12,36,-0.055668445096294886,-0.06550650611006781,-0.011018126875735189,-0.006779791278346108,0.009838061013772922,-0.004238335597389081
6,duplet pairing,8,12,-0.07108953979837021,-0.06707791120201062,-0.06061460998746739,-0.006779791278346108,-0.00401162859635959,-0.05383481870912128
7,triplet position,18,48,-0.028824012659989344,-0.012329568753457322,-0.10522983129091507,-0.0357349803918049,-0.01649444390653202,-0.06949485089911017
7,transitional probability,28,6,-0.00445947111320102,-0.13782156373250504,-0.06859951720474283,-0.18324034402507205,0.133362092619304,0.11464082682032922
7,word grouping,12,36,0.017835075742967152,-0.02238445025226548,0.058715133747311354,-0.04517136971011367,0.04021952599523263,0.10388650345742503
7,duplet pairing,8,12,0.08348299320840577,0.1604346132403885,0.19608731842257804,0.11719437956160758,-0.07695162003198272,0.07889293886097046
8,triplet position,15,40,0.09616928015975018,-0.0716772274340271,-0.025653630910476868,0.13237849697624593,0.16784650759377728,-0.1580321278867228
8,transitional probability,21,6,0.03752890025045824,0.3735147439017673,0.13041352730253059,0.18124779458000012,-0.33598584365130907,-0.050834267277469536
8,word grouping,10,30,-0.14056331003539027,-0.048715199900239384,0.25920838016049363,0.1221559100903265,-0.09184811013515089,0.13705247007016713
8,duplet pairing,6,12,-0.22149167058779318,-0.14393150347387826,0.04698089818333441,0.07871708898437171,-0.07756016711391492,-0.0317361908010373
9,triplet position,18,48,-0.006475581608214488,0.0438475114887326,-0.07579820665896032,0.02118360240915375,-0.05032309309694709,-0.09698180906811407
9,transitional probability,28,6,0.01722394008109669,-0.1522581127601779,0.03128125124421301,-0.10865908730858044,0.16948205284127457,0.13994033855279345
9,word grouping,12,36,0.04483136991085791,0.0435195586813575,-0.0555649210601788,0.025619290817350693,0.0013118112295004147,-0.0811842118775295
9,duplet pairing,8,12,-0.022166206308659567,0.13913995643802898,-0.13011309433553264,0.10475651228673125,-0.16130616274668855,-0.2348696066222639
10,triplet position,18,48,-0.14250557629739666,0.025567206952587705,-0.15498128499361097,0.011121519910741564,-0.16807278324998437,-0.16610280490435253
10,transitional probability,28,6,0.028460005287957706,-0.14287276554288175,0.003018894852343223,-0.09990276667325271,0.17133277083083945,0.10292166152559593
10,word grouping,12,36,-0.047041874501401036,0.04977023410391729,-0.047997568519787266,0.029933391278270938,-0.09681210860531833,-0.0779309597980582
10,duplet pairing,8,12,0.13854824280884445,-0.001266045195722268,0.07653190049111963,0.02603067762829436,0.13981428800456672,0.05050122286282527
11,triplet position,15,40,-0.006912624663709811,-0.08286155708252907,-0.11613050879721022,-0.16200364206695994,0.07594893241881925,0.04587313326974972
11,transitional probability,28,3,-0.045423601567220265,-0.33068015075293755,-0.170589573907886,-0.3709530298450289,0.2852565491857173,0.20036345593714291
11,word grouping,10,30,0.05362240747985396,-0.12835621193665675,-0.24076726336901533,-0.1413916556341234,0.18197861941651072,-0.09937560773489193
11,duplet pairing,7,9,0.058797968340652144,0.019292598828583418,-0.25409030758661505,0.13587022449233063,0.039505369512068726,-0.38996053207894565
12,triplet position,18,48,0.09492231106911712,0.057600685188777125,0.18839244822565657,0.09034659150243637,0.03732162588034,0.09804585672322019
12,transitional probability,28,6,0.08943479020516397,0.0797503469213605,-0.025797681682384742,0.18839244822565657,0.009684443283803468,-0.21419012990804132
12,word grouping,12,36,0.115919265141446,0.0381611585378875,0.15430852949985507,-0.0268261760491866,0.0777581066035585,0.18113470554904168
12,duplet pairing,8,12,0.04081106340038129,0.06352611490128601,0.05322473407343539,0.19465962792589298,-0.02271505150090472,-0.14143489385245758
13,triplet position,18,48,-0.060155284001659086,-0.1148739374817193,0.13444073235207302,0.01221401940345385,0.05471865348006021,0.12222671294861917
13,transitional probability,28,6,-0.11320210377627489,-0.5492506719824687,0.028183057233137975,-0.5263261142143788,0.4360485682061938,0.5545091714475168
13,word grouping,12,36,-0.16195919282375704,-0.09917885236770671,-0.378736128325692,0.09351021265816747,-0.06278034045605033,-0.4722463409838594
13,duplet pairing,8,12,-0.2521829852431966,-0.1715367998836759,-0.378736128325692,-0.1935118676134362,-0.0806461853595207,-0.18522426071225578
14,triplet position,18,48,0.06832531185067342,0.023745761011983783,-0.023268866205863742,0.03452872162179532,0.04457955083868964,-0.057797587827659064
14,transitional probability,28,6,0.011305902673452814,0.05103854958372299,-0.05238327447415514,0.03335852305794433,-0.039732646910270175,-0.08574179753209947
14,word grouping,12,36,-0.0654888581279606,0.053490634058631914,-0.03879226410257267,0.05315936873530243,-0.11897949218659251,-0.09195163283787511
14,duplet pairing,8,12,-0.09970282630214912,0.14079578141528856,-0.10696624487652576,0.227858394431603,-0.2404986077174377,-0.3348246393081288
15,triplet position,18,48,-0.0181827341456528,-0.011898644230129547,-0.06177062831170996,-0.02052092273346398,-0.006284089915523254,-0.041249705578245977
15,transitional probability,28,6,0.005791933583656608,0.058506534794443,-0.09855654831974994,0.06217659985800198,-0.052714601210786395,-0.16073314817775192
15,word grouping,12,36,-0.01677280343592397,-0.010273924494864741,0.005185903173581733,-0.02191644459752031,-0.006498878941059228,0.027102347771102042
15,duplet pairing,8,12,0.01455862857517122,-0.06329981925306288,0.05585322852741835,-0.023067834899445614,0.0778584478282341,0.07892106342686396
16,triplet position,18,48,-0.056978994679038115,-0.09195480790229757,-0.05510771963940429,-0.15005570244526406,0.034975813223259454,0.09494798280585977
16,transitional probability,28,6,-0.04680404371121902,0.20890415178688604,-0.17891735467989933,0.33888898423510005,-0.2557081954981051,-0.5178063389149994
16,word grouping,12,36,-0.19755511577451862,-0.05675470527822388,-0.3833903335572982,-0.03255402217246722,-0.14080041049629474,-0.35083631138483096
16,duplet pairing,8,12,0.10519010830871289,-0.22715629684256664,-0.11266657018227849,-0.10837514026265806,0.33234640515127956,-0.004291429919620435
17,triplet position,18,48,-0.06510029410267036,0.007474022936303006,-0.058928788334273834,0.013835122838690898,-0.07257431703897337,-0.07276391117296473
17,transitional probability,28,6,-0.015554238843814398,-0.043525931412515824,-0.04149672082027016,-0.13112674233654897,0.027971692568701426,0.08963002151627882
17,word grouping,12,36,-0.029473482783215075,0.019789858176142365,-0.06966067821857047,0.05287456848471278,-0.04926334095935744,-0.12253524670328325
17,duplet pairing,8,12,-0.02358326604668601,0.015479694778092665,-0.06966067821857047,0.08350002340512255,-0.03906296082477868,-0.15316070162369302
18,triplet position,18,48,-0.09434245438910983,-0.3007980094877313,-0.1796343691778514,-0.0791328522153763,0.20645555509862146,-0.10050151696247508
18,transitional probability,28,6,-0.09955237432381187,-0.11781905731033836,-0.18441914713410584,-0.1796343691778514,0.018266682986526492,-0.004784777956254455
18,word grouping,12,36,-0.604910061796586,-0.19942732538477967,-0.4643423806318542,-0.022164959173599563,-0.4054827364118063,-0.4421774214582546
18,duplet pairing,8,12,-0.5353622920009363,-0.7944327361630685,-0.4643423806318542,-0.3437038938101462,0.2590704441621322,-0.12063848682170797
19,triplet position,18,48,0.08049078005482363,-0.03159344541176232,0.087146604786051,-0.08338924018614974,0.11208422546658595,0.17053584497220076
19,transitional probability,28,6,-0.017794702918913618,0.11844262062368797,-0.11202406395232992,0.09155551144061141,-0.1362373235426016,-0.20357957539294133
19,word grouping,12,36,-0.013160139472566616,-0.03773788072482756,-0.005810128830196781,-0.11202406395232992,0.024577741252260945,0.10621393512213313
19,duplet pairing,8,12,-0.0382698907606218,0.022867812659992555,-0.04713595122381824,0.09310292331561548,-0.06113770342061436,-0.14023887453943373
20,triplet position,18,48,-0.05843556153240148,-0.05424759544679152,-0.038470570387576994,-0.04362092638659518,-0.004187966085609958,0.005150355999018183
20,transitional probability,28,6,-0.07760639506398544,-0.11802213551002927,-0.08213415286917314,0.10870117758645682,0.04041574044604383,-0.19083533045562995
20,word grouping,12,36,-0.16221179823471907,-0.018259527850815683,-0.17801787652953124,-0.0015818929713952642,-0.14395227038390337,-0.17643598355813597
20,duplet pairing,8,12,-0.2026805819582495,-0.049781439476792366,-0.1941541362536618,-0.007674326788511654,-0.15289914248145714,-0.18647980946515014
21,triplet position,15,40,0.0788003953698352,0.05276962442300152,0.12687301320618208,0.0630978886885418,0.026030770946833683,0.06377512451764028
21,transitional probability,21,6,0.0792985988984221,0.0797527638171233,-0.017085358628913253,0.13990803090277018,-4.5416491870120534e-4,-0.15699338953168343
21,word grouping,10,30,-0.006045426389231912,0.07237464136041266,0.022782479782111953,0.07294623948131759,-0.07842006774964458,-0.05016375969920564
21,duplet pairing,6,12,0.04787096970504143,0.1294050225460763,0.1190865596242946,0.20303522728345602,-0.08153405284103488,-0.08394866765916142
22,triplet position,18,48,0.04379277756889397,-0.03518090802877757,-0.17348566628681356,-0.09571804214220894,0.07897368559767154,-0.07776762414460461
22,transitional probability,28,6,-0.14817650567633084,0.08273578560481065,-0.17348566628681356,-0.2127934033410205,-0.2309122912811415,0.039307737054206954
22,word grouping,12,36,-0.5936833109320139,0.15098655960563453,-0.45843913124942615,0.021274891800879984,-0.7446698705376484,-0.47971402305030614
22,duplet pairing,8,12,-0.5030870843955421,0.3295337888274003,-0.43376572658001616,0.29533098367955246,-0.8326208732229423,-0.7290967102595687
23,triplet position,18,48,0.05968145416192866,0.04395942585544875,0.020908321781135338,0.0441218864739749,0.01572202830647991,-0.023213564692839563
23,transitional probability,28,6,0.1433721348447787,-0.0661710166934513,0.04634903150254081,-0.022188589626241834,0.20954315153823,0.06853762112878264
23,word grouping,12,36,-0.03825265912217566,0.07136345418132355,0.01947300715106897,0.0441218864739749,-0.10961611330349921,-0.02464887932290593
23,duplet pairing,8,12,-0.11695960973040542,-0.020199920408448382,-0.08633428844622891,-0.00826125292628516,-0.09675968932195704,-0.07807303551994375
24,triplet position,18,48,0.056630108295947466,-0.007671602761388153,0.06626738684393889,-0.015928765008691045,0.06430171105733562,0.08219615185262993
24,transitional probability,28,6,-0.011930771172284424,0.030949552071470047,-0.015928765008691045,0.020813529929832077,-0.04288032324375447,-0.03674229493852312
24,word grouping,12,36,0.026069513265610383,-0.01891864143705433,-0.004933169483038943,-0.03362240648533061,0.044988154702664714,0.028689237002291666
24,duplet pairing,8,12,0.07818770077287678,0.028884035584693695,0.07430585160942658,0.012380562707561061,0.04930366518818308,0.06192528890186552
25,triplet position,18,48,-0.12432296500201177,0.025954114086780656,-0.07273783173857416,0.016624681942059048,-0.15027707908879243,-0.08936251368063321
25,transitional probability,28,6,-0.03374836656840356,-0.05752862874963507,-0.002063417703451349,-0.06871500038186823,0.023780262181231505,0.06665158267841688
25,word grouping,12,36,-0.0053919980373244684,0.03640281812814903,0.10207019413884916,-0.015476900922385038,-0.041794816165473495,0.1175470950612342
25,duplet pairing,8,12,-0.11125437940599235,-0.039370282217911404,-0.09253206183012908,-0.05241903551641866,-0.07188409718808095,-0.040113026313710415
26,triplet position,12,33,0.043972100619273036,-0.13061110732627776,0.04098172335125792,-0.146705143115214,0.1745832079455508,0.18768686646647192
26,transitional probability,15,6,0.014136575049478227,0.15996661023040146,0.17850562311563345,-0.06291649076578953,-0.14583003518092322,0.24142211388142298
26,word grouping,8,25,-0.11112668896280539,-0.13684612120258893,-0.2386457856328985,-0.14276439262164042,0.02571943223978354,-0.09588139301125809
26,duplet pairing,5,9,-0.2978624329361771,-0.16082547637523956,-0.33058642815058303,-0.16364324521168047,-0.13703695656093753,-0.16694318293890256
27,triplet position,18,48,0.003577109642009324,0.05684214553693964,-0.0027586207700161913,0.03746452091284738,-0.05326503589493032,-0.040223141682863575
27,transitional probability,28,6,0.06296905399583934,-0.08761199545803612,0.05163504675985238,-0.08646791081762861,0.15058104945387546,0.13810295757748098
27,word grouping,12,36,0.11442772644281021,0.03764695190164946,0.04889319658098708,0.034102963082526645,0.07678077454116075,0.014790233498460433
27,duplet pairing,8,12,0.1797871151378348,0.04211889667629783,0.044290465407981414,0.08859413124601646,0.13766821846153696,-0.04430366583803505
28,triplet position,18,48,0.028251853187553307,-0.05423093675416647,-0.006997399031170079,-0.08094670370532372,0.08248278994171979,0.07394930467415364
28,transitional probability,28,6,-0.06357718287510983,0.02249777443862908,-0.041478088235374,0.10055495628316366,-0.0860749573137389,-0.14203304451853765
28,word grouping,12,36,-0.029859107249386695,-0.0623548799224264,-0.061484379365330105,-0.10015230485349112,0.032495772673039706,0.03866792548816102
28,duplet pairing,8,12,-0.05934983921943723,-0.0715983564761227,-0.08094670370532372,-0.11395574769137135,0.012248517256685472,0.03300904398604762
29,triplet position,15,40,-0.041141300589851076,-0.015990539717586117,-0.0032300289599826028,-0.018019404221046333,-0.02515076087226496,0.01478937526106373
29,transitional probability,21,6,0.09533109574463036,-0.1285298030471941,0.06518668087593683,-0.0016676506698620746,0.22386089879182447,0.06685433154579891
29,word grouping,10,30,-0.0628450954639097,-3.723544688115877e-4,-0.12895843724011408,0.04649273042503971,-0.06247274099509812,-0.17545116766515378
29,duplet pairing,7,9,-0.06023416364977536,-0.11010099764847134,-0.10455871186819282,-0.13117973828655832,0.04986683399869598,0.0266210264183655
30,triplet position,18,48,0.052168740628597055,-0.004016757687195242,0.03752615309470105,0.010537344095259926,0.056185498315792295,0.026988808999441127
30,transitional probability,28,6,-0.026665373540262167,0.1286954108438147,-0.0678036114006382,0.19173574787338338,-0.15536078438407686,-0.2595393592740216
30,word grouping,12,36,0.004290219673892285,-0.006785750140891084,0.02215030910864174,-0.015461260621013221,0.011075969814783369,0.03761156972965496
30,duplet pairing,8,12,0.011306382411929347,-0.021769654321266714,0.02215030910864174,0.0026990121056519505,0.03307603673319606,0.019451297002989792
31,triplet position,18,48,0.022434089833689747,0.045290613261247545,0.07445431877049151,0.06017983362431741,-0.0228565234275578,0.014274485146174097
31,transitional probability,28,6,0.008661522964006954,0.05319349727857069,0.01252681247808554,0.0948218833533932,-0.04453197431456373,-0.08229507087530766
31,word grouping,12,36,0.08788829657472566,0.031091385490088174,0.12221202849219663,0.015028139043648048,0.05679691108463748,0.10718388944854858
31,duplet pairing,8,12,0.15659083839656798,0.0015186009051772517,0.21248096336060254,-0.04090028229114809,0.15507223749139074,0.25338124565175063
32,triplet position,18,48,-0.11147061412630094,-0.019653750677552036,-0.17731830781086527,-0.04290229975686086,-0.0918168634487489,-0.13441600805400442
32,transitional probability,28,6,-0.056008496136813427,0.019305646113893824,-0.13986105696027723,0.09335610099464549,-0.07531414225070725,-0.2332171579549227
32,word grouping,12,36,0.03363862658152203,-0.03741787643057672,0.027456682920397033,-0.06316415046827495,0.07105650301209876,0.09062083338867198
32,duplet pairing,8,12,0.08218284470957937,-0.02238843734173841,0.10624763222510714,0.05788724203690643,0.10457128205131778,0.04836039018820071
33,triplet position,18,48,0.03656053805716747,-0.021214016024243575,0.08414026936426103,0.014513632621038705,0.05777455408141104,0.06962663674322232
33,transitional probability,28,6,-0.0720188075616442,0.18288224985022178,-0.05915032520125652,0.15623545421123083,-0.25490105741186597,-0.21538577941248735
33,word grouping,12,36,-0.07552352643275746,-0.003110845888072278,-0.02831164329607711,0.04204029357193586,-0.07241268054468518,-0.07035193686801297
33,duplet pairing,8,12,-0.20931603164119844,0.11066625796078006,-0.18111104508949064,0.11925073528923084,-0.3199822896019785,-0.30036178037872147
