subject,test,n,mean.with,mean.accr,w,CI.low,CI.hi,min_p,p
a0604,ordinal position,10,0.2179949612568194,0.16452724936501834,55,-0.2852791942716844,0.34014504058165695,0.001953125,0.7393643508194593
a0604,transitional probability,3,0.16039655940855876,0.2944435239081639,1,-0.39444593637469844,0.05984969447794693,0.25,0.5000000000000001
a0604,word identity,10,0.16452724936501834,-0.10361849706146184,40,-0.15128918935395147,0.5864687930536268,0.001953125,0.232421875
a0604,duplet identity,3,0.05925244549522809,0.2085406003801873,0,-0.1910953141458835,-0.09334410673928809,0.25,0.25000000000000006
b0207,ordinal position,8,0.028376508482216047,-0.1494471750356745,41,-0.18500280456335533,0.5206972252850816,0.0078125,0.3822843822843822
b0207,transitional probability,6,-0.03731120441663935,-0.05871565094665092,6,-0.48268014221484573,1.1754243815239045,0.03125,0.43750000000000017
b0207,word identity,8,-0.1494471750356745,0.07941045946660438,9,-0.5877861395991983,0.09875277068166982,0.0078125,0.25000000000000006
b0207,duplet identity,3,-0.46003835906834445,-0.012912154047005112,0,-0.6718856143172729,-0.12546958947959458,0.25,0.25000000000000006
b1111,ordinal position,12,-0.08628556925037009,-0.03946139570339687,62,-0.2594588252911486,0.15398681688764237,4.8828125e-4,0.5898757320213774
b1111,transitional probability,6,-0.03964398348796919,-0.06703220481061574,11,-0.3409344314848852,0.5222679466455936,0.03125,0.9999999999999998
b1111,word identity,12,-0.03946139570339687,0.040779049276608914,33,-0.29974218490665017,0.1556898117093705,4.8828125e-4,0.6772460937500002
b1111,duplet identity,4,0.06473575460664797,-0.023343016112416636,6,-0.2575219745266971,0.5896526454052149,0.125,0.875
b2205,ordinal position,12,-0.09606567379690234,0.10347575014905083,50,-0.479271920540933,0.10246030339866297,4.8828125e-4,0.21892080190639893
b2205,transitional probability,6,0.08092381628476494,-0.07698516111235741,21,0.016660768773714973,0.23045043408872035,0.03125,0.031250000000000014
b2205,word identity,12,0.10347575014905083,0.08954413451808484,42,-0.25929903339888366,0.2717800605950794,4.8828125e-4,0.8500976562500002
b2205,duplet identity,4,0.1072772922685071,-0.09875580824354926,8,-0.129728648697639,0.6051932518985803,0.125,0.375
c0509,ordinal position,12,-0.021098084600915976,0.07326800215288609,63,-0.3271705791541358,0.13774151021972642,4.8828125e-4,0.629725504001988
c0509,transitional probability,6,0.10162873392122282,0.05769386041096761,10,-0.1931648735001342,0.5080274848372193,0.03125,1
c0509,word identity,12,0.07326800215288609,0.07995777224070977,34,-0.34000828113467507,0.29396148239187647,4.8828125e-4,0.7333984375000002
c0509,duplet identity,4,0.1903555462253885,-0.06293866225302039,7,-0.2733408082735533,0.9040438480329749,0.125,0.625
f1001,ordinal position,12,0.01427358738299597,0.018857614812006464,68,-0.28286221128375594,0.3007475823892078,4.8828125e-4,0.8428359902313327
f1001,transitional probability,6,-0.09470556996872623,0.03669689702597488,10,-0.86321782066339,0.15746301564619575,0.03125,1
f1001,word identity,12,0.018857614812006464,0.059092571951190026,35,-0.33976684529590684,0.28985888220964917,4.8828125e-4,0.7910156250000002
f1001,duplet identity,4,-0.11016593523255241,0.06337794781487593,3,-0.6059599452646454,0.174059225747478,0.125,0.625
f1903,ordinal position,12,0.12634701074782123,-0.11556779343084216,106,-0.011063333794379543,0.4639070014846254,4.8828125e-4,0.051864611361178876
f1903,transitional probability,6,0.0345869640593432,0.046464775792983054,10,-0.3565554096560532,0.24355494331632788,0.03125,1
f1903,word identity,12,-0.11556779343084216,-0.10078162948171096,45,-0.2918779327985379,0.22851852968323208,4.8828125e-4,0.6772460937500002
f1903,duplet identity,4,-0.19687935480595056,-0.012985462455836842,0,-0.3408940554068344,-0.052270670760786675,0.125,0.125
g0609,ordinal position,10,0.007318689473315771,0.0029448812580361123,50,-0.48013062912198756,0.44363260747582295,0.001953125,1
g0609,transitional probability,6,-0.02337614818917527,0.09572195407168242,8,-0.8994308395224766,0.8360375531183305,0.03125,0.6875000000000002
g0609,word identity,10,0.0029448812580361123,-0.0149432536283675,30,-0.7408691441084678,0.8321492299002838,0.001953125,0.845703125
g0609,duplet identity,3,0.05526672492207293,0.25813202519263434,2,-0.9907777533205954,0.720866886367606,0.25,0.7500000000000002
g1905,ordinal position,12,-0.0069463354669724985,0.07087014508729467,65,-0.2666462549223504,0.13695745481415517,4.8828125e-4,0.7125350756391273
g1905,transitional probability,6,0.023994115333239734,0.04687788558890276,10,-0.6145581659884443,0.36212904717998706,0.03125,1
g1905,word identity,12,0.07087014508729467,0.05026893499109075,41,-0.33487932199305837,0.3335579111624238,4.8828125e-4,0.9096679687500002
g1905,duplet identity,4,-0.11879789212518127,0.12275485363707549,0,-0.6496319799533264,-0.07416147861054916,0.125,0.125
g2501,ordinal position,12,-0.05889587569609538,-0.05420412876401783,72,-0.4721699311086387,0.5265752537711843,4.8828125e-4,1
g2501,transitional probability,6,0.008827573912722519,-0.09755017263698053,11,-0.4657403742578738,1.2409841931179746,0.03125,0.9999999999999998
g2501,word identity,12,-0.05420412876401783,-0.13988461634683094,45,-0.3950587169521802,0.5778997754170712,4.8828125e-4,0.6772460937500002
g2501,duplet identity,4,-0.26063884402578763,-0.23177428731905106,6,-1.0631988825266843,0.4794563884954016,0.125,0.875
h0207,ordinal position,10,-0.09400583643947245,0.024564283347973635,45,-0.758746235159465,0.46291131083688813,0.001953125,0.7393643508194593
h0207,transitional probability,6,-0.3043252910828853,0.2562738238805847,5,-1.4239559812077203,0.6434092571028506,0.03125,0.3125000000000001
h0207,word identity,10,0.024564283347973635,-0.18511928135455924,33,-0.5595161801639427,1.0112940374112331,0.001953125,0.625
h0207,duplet identity,3,-0.07036993345476115,-0.07230868091699807,3,-0.8645344436738888,0.8335135771634834,0.25,1
h0905,ordinal position,12,0.0828591955683602,0.13269831088451042,61,-0.32977318644106435,0.2077158250461231,4.8828125e-4,0.551167166391288
h0905,transitional probability,6,0.10670315673259459,0.09999054067588087,11,-0.8066815662982817,0.7071902273995092,0.03125,0.9999999999999998
h0905,word identity,12,0.13269831088451042,0.015767915327861957,47,-0.19703771989084795,0.45858283433274394,4.8828125e-4,0.5693359375000002
h0905,duplet identity,4,0.13743334712836308,0.14555169232609233,5,-0.2687181648574992,0.30395835316269776,0.125,1
h2802,ordinal position,12,0.3555322533133533,-0.20887358855559648,104,-0.12439766792772711,1.2688479343116275,4.8828125e-4,0.06836144068611427
h2802,transitional probability,6,0.9063791079731472,-0.25121425789952073,21,0.514309415463227,1.940627852992326,0.03125,0.031250000000000014
h2802,word identity,12,-0.20887358855559648,0.38653347620109274,16,-1.3786020960083356,0.13385279734556466,4.8828125e-4,0.07714843750000006
h2802,duplet identity,4,-0.32547821150325573,0.05242875839449394,1,-0.8123218222244689,0.34321809036380335,0.125,0.25
j2010,ordinal position,12,-0.08318766409274941,0.006739024189132424,58,-0.34073443522577496,0.15198771629010285,4.8828125e-4,0.44283317974258884
j2010,transitional probability,6,-0.019653941126635745,-0.08610282875718839,14,-0.32542723553943914,0.422552513608791,0.03125,0.5625000000000002
j2010,word identity,12,0.006739024189132424,-0.03005503934985248,43,-0.2580654051053368,0.34923533069105106,4.8828125e-4,0.7910156250000002
j2010,duplet identity,4,-0.09658363306476417,0.24254251868955035,2,-1.0005217999982587,0.2851628831438968,0.125,0.375
k0503,ordinal position,12,-0.024263065545835735,8.484341603152557e-4,73,-0.25629165118048436,0.21493585748093283,4.8828125e-4,0.9774021912936977
k0503,transitional probability,6,-0.166521568420116,0.05363700281637757,4,-0.6781248717224709,0.35424693382610734,0.03125,0.21875000000000008
k0503,word identity,12,8.484341603152557e-4,-0.09367796920716281,57,-0.0801327938690859,0.25932627200841024,4.8828125e-4,0.17626953125000014
k0503,duplet identity,4,-0.06484055358498104,0.06576546538304938,2,-0.30395189297330105,0.050433624612295086,0.125,0.375
k0511,ordinal position,12,-0.1649727514927608,-0.1601568669507606,80,-0.41759651716229096,0.41061501995250227,4.8828125e-4,0.6706595329559389
k0511,transitional probability,6,0.039052982815094825,-0.08691392373446001,13,-0.8496355098778138,0.9552157856512129,0.03125,0.6875000000000002
k0511,word identity,12,-0.1601568669507606,-0.04786505482954664,29,-0.6507314990188041,0.4337291771428224,4.8828125e-4,0.4697265625000002
k0511,duplet identity,4,0.20106727973583532,-0.42695105203500505,9,-0.3314734958176341,1.4866684956055956,0.125,0.25
k1234,ordinal position,12,0.12153707953307284,0.14037357574603718,72,-0.22376599567031547,0.20011130193992996,4.8828125e-4,1
k1234,transitional probability,6,0.2306148269833391,0.052564823010620744,17,-0.20804957634015206,0.7536886996017893,0.03125,0.21875000000000008
k1234,word identity,12,0.14037357574603718,0.11226770289868636,41,-0.23209136349598755,0.32599700574131407,4.8828125e-4,0.9096679687500002
k1234,duplet identity,4,0.22923153166694837,0.08874207847657822,10,0.06741422169116586,0.22477924338411442,0.125,0.125
k1408,ordinal position,12,-0.13589834671343162,-0.09992587655429307,67,-0.6241919087933079,0.7224058712331359,4.8828125e-4,0.79874533865649755
k1408,transitional probability,6,-0.003508329600111696,-0.10925463972495977,12,-1.4075642377878652,1.6572001519175639,0.03125,0.8437500000000002
k1408,word identity,12,-0.09992587655429307,0.16431086004074197,27,-0.9075468574669883,0.4877223738269435,4.8828125e-4,0.3803710937500002
k1408,duplet identity,4,0.34843776361195167,-0.36189861683468827,10,0.38425526550182254,1.2814816277746934,0.125,0.125
k1707,ordinal position,12,0.14487688989270686,-0.15820386223883176,107,0.0013235004569815412,0.5988170167205729,4.8828125e-4,0.04490199529908778
k1707,transitional probability,6,0.16744106666395164,0.08797155081854256,15,-0.4650464219010956,0.41857912978490974,0.03125,0.43750000000000017
k1707,word identity,12,-0.15820386223883176,-0.07421787663154955,29,-0.38270807727278094,0.18039874550515003,4.8828125e-4,0.4697265625000002
k1707,duplet identity,4,0.014564429355736624,-0.28640947595805116,9,-0.2067662303087383,0.6006066071155829,0.125,0.25
k2112,ordinal position,12,-0.1731512553971742,-0.009225708425005587,51,-0.4674387512164993,0.14901303961807866,4.8828125e-4,0.24152378782880873
k2112,transitional probability,6,-0.08895678652798653,-0.21389915836009293,14,-1.0490093064107264,0.9047265385884378,0.03125,0.5625000000000002
k2112,word identity,12,-0.009225708425005587,-0.03663068237309301,41,-0.34032314923190515,0.3784445352736937,4.8828125e-4,0.9096679687500002
k2112,duplet identity,4,-0.0319718766815463,0.23647001701706333,0,-0.4676330559785118,-0.1543282811171932,0.125,0.125
l2805,ordinal position,10,0.06663191293571546,-0.08527867920594154,62,-0.18497621295777372,0.45255470552703037,0.001953125,0.39304812834224606
l2805,transitional probability,3,-0.21476274844043547,0.24192593780037439,1,-0.8711846174983251,0.23323859497746205,0.25,0.5000000000000001
l2805,word identity,10,-0.08527867920594154,-0.17650015752831605,35,-0.24174822607527274,0.4313977004840256,0.001953125,0.4921875
l2805,duplet identity,3,-0.15209427903908873,-0.3418786399244381,4,-0.6641134278666682,0.7236964930838183,0.25,0.7499999999999996
m1201,ordinal position,12,0.2059576679901307,0.10594104090113653,78,-0.38251533630922746,0.6694063707256837,4.8828125e-4,0.7552848282421576
m1201,transitional probability,6,0.34419120225468014,0.24584878238561259,12,-1.169831602171847,1.5977974852071357,0.03125,0.8437500000000002
m1201,word identity,12,0.10594104090113653,-0.041027236819539695,45,-0.4810884984697763,0.865307063586835,4.8828125e-4,0.6772460937500002
m1201,duplet identity,4,-0.06677656991639938,0.6346888208741985,1,-1.3196054348524067,0.3332519223535092,0.125,0.25
m2209,ordinal position,12,-0.07685201770321932,-0.05057275631210363,66,-0.20891965321736672,0.13473199415729997,4.8828125e-4,0.7552848282421576
m2209,transitional probability,6,0.06221025964416076,-0.0426025611923741,14,-0.4987428620677608,0.6764777111169074,0.03125,0.5625000000000002
m2209,word identity,12,-0.05057275631210363,0.08951552108066696,20,-0.3509998287305888,0.07402292901622361,4.8828125e-4,0.1513671875000001
m2209,duplet identity,4,-0.054923691128156364,-0.002156419713785232,3,-0.18266800509797643,0.08205618348230254,0.125,0.625
m2305,ordinal position,12,-0.09690978169348022,-0.0777717460243306,72,-0.22843777767470644,0.20946225345117286,4.8828125e-4,1
m2305,transitional probability,6,-0.1473619900271641,-0.1683727251556717,14,-0.28572610806758114,0.16526386800721374,0.03125,0.5625000000000002
m2305,word identity,12,-0.0777717460243306,0.06847217770934882,16,-0.3155539077579792,0.05160765646426092,4.8828125e-4,0.07714843750000006
m2305,duplet identity,4,-0.04652817848320608,-0.0504031483705262,5,-0.39474197486148643,0.2763507831213868,0.125,1
p3006,ordinal position,12,-0.007253685487760295,-0.06757172233965657,81,-0.28613191947765265,0.38888254596672794,4.8828125e-4,0.629725504001988
p3006,transitional probability,6,-0.016288213252305027,-0.05636721630201174,12,-0.9936588696017842,0.6684217117392925,0.03125,0.8437500000000002
p3006,word identity,12,-0.06757172233965657,0.17446276789033846,5,-0.36484954929593916,-0.1193458535190316,4.8828125e-4,0.0048828125000000035
p3006,duplet identity,4,-0.15501557948408273,-0.028820563137018772,3,-0.6545555194992632,0.6089509865650046,0.125,0.625
s1107,ordinal position,8,0.07061449999149935,0.027252120583791797,30,-0.3874441906350191,0.44411037333469083,0.0078125,0.8784770784770783
s1107,transitional probability,6,-0.0781704023078638,0.09566929020084339,7,-0.7088227644816895,0.6143326424374326,0.03125,0.5625000000000002
s1107,word identity,8,0.027252120583791797,0.09460781475964977,12,-0.3607517048837757,0.22364464139689777,0.0078125,0.46093750000000006
s1107,duplet identity,3,0.1240869610973131,0.08824134166811286,3,-0.061826611581329155,0.18567816236314616,0.25,1
s1311,ordinal position,12,-0.05476963371927509,-0.032311541660010004,67,-0.3086117677177018,0.20190922233728287,4.8828125e-4,0.79874533865649755
s1311,transitional probability,6,0.03594228589889873,-0.049430448092458404,11,-0.28483961575539357,0.6377548102644497,0.03125,0.9999999999999998
s1311,word identity,12,-0.032311541660010004,-0.09679085693584528,44,-0.181582825862742,0.34096346390137305,4.8828125e-4,0.7333984375000002
s1311,duplet identity,4,-0.0171288379923986,-0.1904216062995955,7,-0.390758073516394,0.7292852944062185,0.125,0.625
s1512,ordinal position,12,0.130742047192653,-0.0421280288267806,95,-0.04283741009326362,0.36828360618523043,4.8828125e-4,0.19780811462060624
s1512,transitional probability,6,0.17323704567456402,0.0058212016066882975,13,-0.3922200218110569,1.1485276011519403,0.03125,0.6875000000000002
s1512,word identity,12,-0.0421280288267806,-0.09835831934813527,47,-0.18110804725500793,0.28675982169768915,4.8828125e-4,0.5693359375000002
s1512,duplet identity,4,-0.02097753780457436,-0.13082805446194168,6,-0.22937224237863335,0.6622113606310149,0.125,0.875
s1911,ordinal position,12,-0.33333333333333337,0.3333333333333333,41.5,-2,3.6426020414430556e-6,4.8828125e-4,0.05623753626923734
s1911,transitional probability,6,-1.8521787113294035e-17,0,7,-2,2,0.03125,1
s1911,word identity,12,0.3333333333333333,-0.3333333333333333,22,4.7865898083021785e-6,2,4.8828125e-4,0.18831268948891655
s1911,duplet identity,4,1,0,5,2,2,0.125,0.41421617824252505
t2311,ordinal position,12,-0.09304996045178758,-0.072660842755100985,73,-0.295330554996418,0.19953006462180783,4.8828125e-4,0.9774021912936977
t2311,transitional probability,6,0.04386369174947645,-0.08905647337334557,12,-0.4260702867272165,1.1736138320553375,0.03125,0.8437500000000002
t2311,word identity,12,-0.072660842755100985,-0.05649644724808942,42,-0.38774965325724253,0.3183127321909481,4.8828125e-4,0.8500976562500002
t2311,duplet identity,4,0.12265742719226677,0.003066180246521586,6,-0.24289472723918057,0.49131459840600267,0.125,0.875
w2505,ordinal position,12,0.039090502242143124,0.016461072169546793,77,-0.24843890288812898,0.3175521707086025,4.8828125e-4,0.79874533865649755
w2505,transitional probability,6,0.1773861518770964,5.575742618289008e-4,16,-0.2447459974953588,0.8018387600505699,0.03125,0.3125000000000001
w2505,word identity,12,0.016461072169546793,0.07457710248358317,31,-0.27082479512886604,0.1509921172630861,4.8828125e-4,0.5693359375000002
w2505,duplet identity,4,0.1794525655877198,0.07051911081397423,6,-0.3604618092494523,0.6695565022634448,0.125,0.875
w2806,ordinal position,12,0.05000480680269986,-0.01198982780454991,89,-0.12763088814788304,0.29226881856693004,4.8828125e-4,0.3473579186999567
w2806,transitional probability,6,0.11383640523009951,0.08903741021547888,10,-0.2829833002282865,0.45958238914277605,0.03125,1
w2806,word identity,12,-0.01198982780454991,-0.03818039525721678,42,-0.21099853752573036,0.2862398220877991,4.8828125e-4,0.8500976562500002
w2806,duplet identity,4,0.041021337876573555,-0.0795050528701381,6,-0.5322199782873667,0.48899805062400664,0.125,0.875
y0305,ordinal position,12,-0.061008047918426046,0.0209551248171249,63,-0.33169070923195976,0.17639117873026172,4.8828125e-4,0.629725504001988
y0305,transitional probability,6,-0.07020125404771654,0.016421788802414617,6,-0.42051095947953165,0.2379020452534753,0.03125,0.43750000000000017
y0305,word identity,12,0.0209551248171249,-0.1068374727233929,53,-0.15969498763130024,0.4331352742329406,4.8828125e-4,0.3012695312500002
y0305,duplet identity,4,-0.2719374433076346,0.34178910910351584,0,-1.0502161986297085,-0.21570944041838297,0.125,0.125
